Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden\hardeja01,SG,30,HOU,23,23,37.7,10.3,24.0,.431,4.7,13.8,.338,5.7,10.2,.557,.528,12.6,14.3,.879,1.0,5.1,6.0,7.5,2.0,0.6,5.1,3.3,38.0
2,Giannis Antetokounmpo\antetgi01,PF,25,MIL,24,24,31.6,11.5,20.3,.564,1.6,5.0,.319,9.9,15.4,.642,.602,6.4,10.8,.588,2.7,10.5,13.2,5.5,1.3,1.3,3.8,3.2,30.9
3,Luka Dončić\doncilu01,PG,20,DAL,23,23,33.4,9.7,20.3,.476,3.0,9.5,.320,6.6,10.7,.615,.552,7.6,9.3,.814,1.3,8.5,9.8,9.2,1.3,0.1,4.6,2.4,30.0
4,Trae Young\youngtr01,PG,21,ATL,22,22,34.6,9.5,20.5,.462,3.5,8.9,.388,6.0,11.5,.520,.547,6.4,7.5,.860,0.5,3.6,4.1,8.4,1.3,0.0,4.9,1.3,28.8
5,Bradley Beal\bealbr01,SG,26,WAS,22,22,37.0,9.6,21.3,.453,2.6,7.7,.343,7.0,13.6,.515,.515,6.0,7.2,.836,1.0,3.5,4.5,7.0,1.0,0.2,3.5,2.7,28.0
6,Anthony Davis\davisan02,PF,26,LAL,23,23,34.4,9.7,19.0,.507,1.1,3.3,.333,8.6,15.8,.543,.535,7.3,8.3,.870,2.4,6.6,9.0,3.3,1.5,2.7,2.3,2.3,27.7
7,Damian Lillard\lillada01,PG,29,POR,22,22,36.9,8.3,18.7,.443,3.1,9.0,.350,5.1,9.7,.528,.527,7.0,7.7,.911,0.5,4.1,4.6,7.4,1.0,0.5,2.9,2.0,26.7
8,Karl-Anthony Towns\townska01,C,24,MIN,21,21,33.7,9.0,17.4,.516,3.6,8.4,.424,5.4,9.0,.603,.619,4.6,5.7,.800,2.6,9.1,11.7,4.5,1.0,1.4,3.0,3.4,26.1
9,LeBron James\jamesle01,PG,35,LAL,24,24,34.4,10.0,19.9,.501,2.2,6.0,.364,7.8,13.9,.560,.556,3.8,5.4,.705,1.0,5.9,6.8,10.8,1.3,0.5,3.7,1.8,25.9
10,Devin Booker\bookede01,SG,23,PHO,23,23,35.7,9.0,17.5,.514,2.3,5.7,.415,6.7,11.9,.560,.581,5.1,5.7,.908,0.6,3.3,3.9,6.3,0.6,0.3,3.9,3.1,25.5
11,Kawhi Leonard\leonaka01,SF,28,LAC,18,18,31.1,8.9,20.0,.447,1.7,5.1,.330,7.3,14.9,.487,.489,5.5,6.4,.853,1.1,6.8,7.9,5.2,1.9,0.8,3.4,2.0,25.1
12,Brandon Ingram\ingrabr01,PF,22,NOP,20,20,33.7,9.0,18.1,.494,2.3,5.5,.418,6.7,12.6,.528,.558,4.7,5.6,.839,0.8,6.2,7.0,4.0,0.8,0.9,2.9,3.0,24.9
13,Donovan Mitchell\mitchdo01,SG,23,UTA,24,24,34.6,9.0,20.7,.438,2.3,6.2,.362,6.8,14.5,.470,.492,4.3,5.2,.839,0.9,3.9,4.8,3.6,1.3,0.3,2.4,2.2,24.7
14,Pascal Siakam\siakapa01,PF,25,TOR,23,23,36.9,9.2,20.0,.458,2.3,6.2,.364,6.9,13.8,.500,.514,3.9,4.8,.811,1.6,6.9,8.4,3.6,0.9,0.7,2.7,2.7,24.5
