Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,21,570,21.2,0.609,0.006,0.403,12.9,24.5,18.8,17.1,0.9,3.9,13.8,16.9,1.5,0.8,2.3,0.196,1.3,3.4,4.7,1
2,Bam Adebayo\adebaba01,C,22,MIA,24,805,20.4,0.626,0.034,0.591,9,25.8,17.8,20.2,2,3.5,19.8,19.6,1.6,1.6,3.3,0.194,0.5,4.6,5.1,1.4
3,LaMarcus Aldridge\aldrila01,C,34,SAS,22,730,19.9,0.565,0.106,0.248,6.5,16.6,11.5,11.6,0.9,4.4,9.2,23.5,1.3,0.5,1.7,0.114,0.3,0.3,0.6,0.5
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,21,291,7.8,0.437,0.531,0.11,1.4,15.9,8.4,19.5,1.1,0.6,13.1,24.7,-0.5,0.1,-0.4,-0.071,-3.9,-3,-6.9,-0.4
5,Grayson Allen\allengr01,SG,24,MEM,13,246,9.7,0.533,0.467,0.185,0.9,15.6,8.2,11,0.9,0.4,13.1,19.4,0,0.1,0.1,0.012,-2.6,-2.5,-5.1,-0.2
6,Jarrett Allen\allenja01,C,21,BRK,24,636,23.8,0.672,0.006,0.624,15.3,26,20.8,6.9,1.3,4,11,16.6,2.2,0.9,3.1,0.236,1.7,1.8,3.4,0.9
7,Kadeem Allen\allenka01,SG,27,NYK,1,16,20.3,0.75,0.667,0,0,0,0,21.9,3.1,0,14.3,18.6,0.1,0,0.1,0.176,3.2,-7.7,-4.4,0
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.9,0.395,0.419,0.337,6.5,18.1,12.2,7.7,2.3,1.9,14.7,13.2,-0.4,0.6,0.2,0.03,-4.6,2.6,-2,0
9,Kyle Anderson\anderky01,PF,26,MEM,18,361,13.9,0.533,0.165,0.299,5,18.6,11.8,16.8,1.7,2.9,12.7,14.5,0.3,0.3,0.7,0.087,-1.7,1.6,-0.1,0.2
10,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.7,0.357,0.714,0,0,51.2,25.8,20.4,3.3,0,12.5,23.2,0,0,0,-0.017,-6.7,1.9,-4.8,0
11,Giannis Antetokounmpo\antetgi01,PF,25,MIL,24,758,33.7,0.615,0.244,0.533,9,31.2,20.7,31.6,1.9,3.6,13.1,37.6,2.9,2,4.9,0.309,7.5,5.1,12.6,2.8
12,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,3,3.9,,,,0,35.8,18.5,0,0,0,,0,0,0,0,0.078,-9.2,-0.9,-10.1,0
13,Thanasis Antetokounmpo\antetth01,SF,27,MIL,4,25,17.9,0.595,0,0.4,12.5,0,5.9,23.6,0,0,14.5,22.6,0.1,0,0.1,0.174,1,-3.5,-2.5,0
14,Carmelo Anthony\anthoca01,PF,35,POR,12,379,12.3,0.507,0.273,0.21,2.7,16.2,9.5,6.4,1.9,1.1,11.9,24.3,-0.2,0.3,0.1,0.013,-3,-1.5,-4.5,-0.2
15,OG Anunoby\anunoog01,SF,22,TOR,23,692,14.4,0.598,0.436,0.163,3.7,15,9.6,8.6,2.1,2.9,11.1,15,0.8,1.3,2,0.14,0.4,2.9,3.3,0.9
16,Ryan Arcidiacono\arcidry01,PG,25,CHI,26,410,7.5,0.516,0.629,0.225,3.2,7.7,5.4,13.9,1.4,0.5,14.8,11.8,0.2,0.4,0.5,0.064,-2.3,-0.4,-2.7,-0.1
17,Trevor Ariza\arizatr01,SF,34,SAC,17,384,8.9,0.525,0.741,0.16,2.3,17.9,9.8,7.1,2.3,0.7,13,11.3,0.1,0.4,0.5,0.058,-1.7,0.9,-0.8,0.1
18,D.J. Augustin\augusdj01,PG,32,ORL,24,615,12.7,0.505,0.409,0.298,1.8,8.3,5,27.3,1.4,0,13.5,18.2,0.5,0.6,1.1,0.083,-0.8,-1.7,-2.5,-0.1
19,Deandre Ayton\aytonde01,C,21,PHO,1,33,26.3,0.643,0,0,9.6,27.6,18.2,0,1.4,10.6,0,17.9,0.1,0.1,0.1,0.217,-2.9,0.2,-2.7,0
20,Dwayne Bacon\bacondw01,SG,24,CHO,20,382,5.1,0.383,0.276,0.199,2.5,12.9,7.4,9.8,1.9,0.5,10.1,21.4,-0.9,0.1,-0.7,-0.092,-7,-2.1,-9.1,-0.7
21,Marvin Bagley\baglema01,PF,20,SAC,2,51,12,0.401,0.034,0.172,13,23.3,18,0,1,3.8,6,28.4,-0.1,0.1,-0.1,-0.053,-10.5,-6.6,-17.1,-0.2
22,Lonzo Ball\balllo01,PG,22,NOP,17,484,11.4,0.485,0.603,0.098,3,14.4,8.5,27.6,2,1.1,20.2,19.3,-0.2,0.2,0,0.004,-1.1,-0.6,-1.8,0
23,Mo Bamba\bambamo01,C,21,ORL,22,343,12.2,0.499,0.381,0.102,8.4,26.7,17.3,4.1,0.9,8.1,18,19,-0.4,0.7,0.3,0.047,-5.7,3.1,-2.7,-0.1
24,J.J. Barea\bareajo01,PG,35,DAL,6,84,21,0.567,0.378,0.044,2.6,9.6,6.2,32.1,1.1,1,9.8,25.7,0.2,0.1,0.3,0.174,2.9,-2.8,0.1,0
25,Harrison Barnes\barneha02,PF,27,SAC,24,850,15,0.576,0.311,0.399,3.5,14,8.6,10.1,1.2,0.6,10.5,19.1,1.3,0.5,1.8,0.1,0.3,-0.7,-0.5,0.3
26,RJ Barrett\barrerj01,SG,19,NYK,24,772,11,0.458,0.243,0.371,3.4,15.2,9,16.3,2,1.5,13.2,23.8,-0.9,0.4,-0.4,-0.028,-3.1,-0.4,-3.6,-0.3
27,Will Barton\bartowi01,SF,29,DEN,21,685,16.8,0.558,0.383,0.195,5.1,17.4,11.1,16.2,1.6,1.2,8.6,19.2,1.1,1.2,2.3,0.162,1.5,1.8,3.3,0.9
28,Keita Bates-Diop\bateske01,SF,24,MIN,12,230,14.2,0.651,0.522,0.149,2.7,12.7,7.7,5.1,0.8,2.1,6.5,13.7,0.4,0.1,0.5,0.108,0.3,-1.7,-1.4,0
